venue,innings,batting_team,bowling_team,bat1,bat2,bat3,bat4,bat5,bat6,bat7,bat8,bat9,bat10,bow1,bow2,bow3,bow4,bow5,bow6,runs_off_bat,extras,Total_score,player_dismissed
14,1,3,6,419,70,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,512,19.0,0.0,0.0,0.0,51,10,61,1
14,2,6,3,351,496,483.0,187.0,97.0,297.0,0.0,0.0,0.0,0.0,22,163,20.0,0.0,0.0,0.0,19,7,26,4
21,1,0,2,331,286,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,408,201.0,0.0,0.0,0.0,50,3,53,1
21,2,2,0,207,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,296,0.0,0.0,0.0,0.0,61,2,63,1
9,1,5,1,468,506,443.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,146,62,275.0,0.0,0.0,0.0,38,2,40,2
9,2,1,5,142,485,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,443,427.0,0.0,0.0,0.0,53,2,55,1
32,1,4,6,242,448,119.0,386.0,342.0,0.0,0.0,0.0,0.0,0.0,326,512,187.0,0.0,0.0,0.0,41,6,47,3
32,2,6,4,395,351,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,433,132.0,0.0,0.0,0.0,39,1,40,1
8,1,7,3,26,503,492.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22,163,20.0,0.0,0.0,0.0,35,4,39,2
8,2,3,7,498,70,385.0,419.0,115.0,0.0,0.0,0.0,0.0,0.0,499,376,417.0,0.0,0.0,0.0,21,5,26,3
24,1,2,5,207,201,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,443,427.0,0.0,0.0,0.0,54,0,54,1
24,2,5,2,255,506,234.0,443.0,133.0,0.0,0.0,0.0,0.0,0.0,65,408,201.0,0.0,0.0,0.0,45,8,53,3
22,1,7,1,26,503,492.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,146,302,0.0,0.0,0.0,0.0,24,1,25,2
22,2,1,7,142,485,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499,376,0.0,0.0,0.0,0.0,47,1,48,1
15,1,0,4,331,286,274.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,433,10,132.0,0.0,0.0,0.0,46,7,53,2
15,2,4,0,242,448,386.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,184,296,0.0,0.0,0.0,0.0,45,7,52,2
22,1,7,5,26,492,456.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,288,443,506.0,0.0,0.0,0.0,57,1,58,2
22,2,5,7,234,144,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499,376,340.0,0.0,0.0,0.0,70,3,73,1
