match_id,venue,innings,batting_team,bowling_team,20-score,6-score,won
335989,MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,208,53,Chennai Super Kings
335989,MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,202,52,
336018,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,156,28,Mumbai Indians
336018,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,158,78,
392181,Newlands,1,Mumbai Indians,Chennai Super Kings,165,40,Mumbai Indians
392181,Newlands,2,Chennai Super Kings,Mumbai Indians,146,40,
392227,St George's Park,1,Mumbai Indians,Chennai Super Kings,147,49,Chennai Super Kings
392227,St George's Park,2,Chennai Super Kings,Mumbai Indians,151,35,
419125,"Brabourne Stadium, Mumbai",1,Chennai Super Kings,Mumbai Indians,180,51,Mumbai Indians
419125,"Brabourne Stadium, Mumbai",2,Mumbai Indians,Chennai Super Kings,181,63,
419142,MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,165,42,Chennai Super Kings
419142,MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,141,46,
419165,Dr DY Patil Sports Academy,1,Chennai Super Kings,Mumbai Indians,168,40,Chennai Super Kings
419165,Dr DY Patil Sports Academy,2,Mumbai Indians,Chennai Super Kings,146,33,
501221,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,164,40,Mumbai Indians
501221,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,156,44,
548306,MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,112,42,Mumbai Indians
548306,MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,115,53,
548355,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,173,52,Mumbai Indians
548355,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,174,46,
548379,M Chinnaswamy Stadium,1,Chennai Super Kings,Mumbai Indians,187,30,Chennai Super Kings
548379,M Chinnaswamy Stadium,2,Mumbai Indians,Chennai Super Kings,149,54,
598002,MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,148,41,Mumbai Indians
598002,MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,139,36,
598046,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,139,32,Mumbai Indians
598046,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,79,32,
598070,Feroz Shah Kotla,1,Chennai Super Kings,Mumbai Indians,192,47,Chennai Super Kings
598070,Feroz Shah Kotla,2,Mumbai Indians,Chennai Super Kings,144,56,
598073,Eden Gardens,1,Mumbai Indians,Chennai Super Kings,148,34,Mumbai Indians
598073,Eden Gardens,2,Chennai Super Kings,Mumbai Indians,125,35,
